YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1963  -12.1   -9.4   -5.1    5.3   15.5   15.1   18.5   18.3   13.4    7.1    3.2   -6.0    -9.2     5.2    17.3     7.9    5.31
1964   -4.0   -8.5   -5.3    4.8   11.4   18.4   17.8   15.1   11.4    6.6    1.4   -1.9    -6.2     3.6    17.1     6.5    5.26
1965   -3.5   -7.4   -2.4    4.8    8.5   15.1   15.2   14.5   13.6    6.7   -2.8   -1.5    -4.3     3.6    14.9     5.8    5.03
1966   -7.4   -6.0    0.5    5.3   13.2   17.0   17.9   15.9   11.0    8.0    0.9   -3.3    -5.0     6.3    16.9     6.6    6.23
1967   -9.2   -2.9    2.3    5.9   13.5   15.0   17.4   16.2   14.5    9.9    3.3   -4.4    -5.1     7.2    16.2     9.2    6.88
1968   -9.4   -4.7    0.3    7.1   10.3   17.1   15.9   17.0   12.2    5.8    0.6   -3.9    -6.2     5.9    16.7     6.2    5.65
1969  -10.6   -7.3   -4.8    4.5   12.1   14.8   17.2   15.8   11.6    6.7    3.3   -9.5    -7.3     3.9    15.9     7.2    4.95
1970   -8.7   -8.8   -1.3    5.1   12.2   16.1   16.6   16.0   11.1    5.7    2.1   -2.0    -9.0     5.3    16.2     6.3    4.72
1971   -3.3   -2.1   -2.9    5.6   13.6   14.9   17.4   18.1   10.6    7.2    0.4    1.3    -2.5     5.4    16.8     6.1    6.46
1972  -10.0   -2.2    0.1    5.4   12.6   17.5   20.2   17.4   11.6    4.8    3.0   -0.2    -3.6     6.0    18.4     6.5    6.81
1973   -3.9   -0.4    1.8    5.7   11.9   16.7   18.6   16.5   10.2    5.1    0.4   -3.2    -1.5     6.5    17.3     5.2    6.87
1974   -3.0    0.0    1.7    5.4    9.7   14.3   15.3   16.4   13.3    6.6    2.7    1.1    -2.1     5.6    15.3     7.5    6.60
1975    0.4   -1.1    2.6    5.7   13.8   15.3   18.0   17.5   14.4    6.9   -0.2   -0.1     0.1     7.4    16.9     7.0    7.87
1976   -6.0   -7.8   -3.2    5.0   10.5   12.9   17.0   14.7   11.2    2.7    3.1   -2.8    -4.6     4.1    14.9     5.7    5.00
1977   -5.4   -3.5    1.0    4.2   12.3   15.8   14.8   14.9    9.6    6.6    3.3   -3.1    -3.9     5.8    15.2     6.5    5.90
1978   -4.2   -7.2    1.3    4.6   10.8   14.1   15.4   15.2    9.7    6.4    5.5   -8.9    -4.8     5.6    14.9     7.2    5.71
1979   -9.0   -8.1   -0.8    4.7   13.5   18.2   13.3   16.2   11.6    4.6    1.1   -1.1    -8.7     5.8    15.9     5.8    4.70
1980   -7.7   -6.3   -4.7    5.4    7.8   16.0   16.2   15.0   11.4    7.0   -0.5   -1.6    -5.0     2.8    15.7     6.0    4.88
1981   -4.9   -3.1   -0.2    3.7   13.6   15.8   17.0   15.3   12.1    7.7    1.6   -4.5    -3.2     5.7    16.0     7.1    6.42
1982   -5.9   -4.6    1.1    4.7   12.1   13.4   17.5   16.9   12.5    6.9    3.5    0.2    -5.0     6.0    15.9     7.6    6.13
1983    1.2   -4.9    0.4    8.0   14.5   14.8   17.5   17.6   13.5    7.2    1.1   -2.2    -1.2     7.6    16.6     7.3    7.59
1984   -2.0   -4.3   -0.9    7.9   13.7   13.4   14.8   16.3   11.5    8.9    0.7   -2.1    -2.8     6.9    14.8     7.0    6.48
1985  -11.8  -12.6   -1.3    5.0   13.7   14.4   15.4   17.6   10.1    8.1   -0.2   -2.2    -8.8     5.8    15.8     6.0    4.69
1986   -3.6  -11.4    0.0    5.8   12.9   16.2   16.6   15.7    9.1    6.4    3.7   -2.7    -5.7     6.2    16.2     6.4    5.77
1987  -15.6   -4.1   -5.6    4.0   10.8   14.2   16.0   14.2   10.7    6.5    1.8   -1.5    -7.5     3.1    14.8     6.3    4.18
