id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9376599,Best location at Christianshavn,14530946,Lise,,Indre By,55.67368016587063,12.59270253721432,Entire home/apt,724,1,12,2017-05-21,1.76,2,4
18289494,Modern and cosy apartment in the center of CPH,19629857,Anne Sofie,,Indre By,55.683235577731956,12.565471183006402,Entire home/apt,801,7,1,2017-06-07,1,1,9
13595638,Lovely Apartment in City Center Copenhagen,78583819,Sebastian,,Indre By,55.68863336813976,12.58705485683989,Entire home/apt,444,5,1,2016-12-03,0.15,1,0
8590161,Bedste sted i byen med lokal miljø.,6957978,Tina,,Indre By,55.68268599917283,12.56430174327142,Entire home/apt,1802,4,0,,,1,164
3568611,Apartment in historic Nyboder,17967383,Britt,,Indre By,55.67668835245096,12.569072662794735,Entire home/apt,1053,15,2,2016-09-13,0.19,2,223
3503073,Luxury apartment,9972501,Anne,,Indre By,55.68379592069566,12.59052509235493,Entire home/apt,2398,7,3,2016-08-24,0.21,1,0
6321116,Central and quiet location,11253968,Andreas,,Indre By,55.68327188900914,12.583199792621148,Entire home/apt,993,2,13,2017-05-02,0.60,1,0
16806874,Penthouse in the central exclusive pedestrian area,748578,Lucy,,Indre By,55.68168438582072,12.578594789174463,Entire home/apt,1099,3,7,2017-05-19,2.31,2,47
18420577,"Unique, luxurious & spacious 300m2 penthouse",76883869,Nanna,,Indre By,55.68472698969838,12.581115563385008,Entire home/apt,2921,3,0,,,1,326
19035028,Cosy and quiet flat in the centre of Copenhagen,11259026,Lene,,Indre By,55.676288437376456,12.589419881268368,Entire home/apt,1007,4,0,,,1,34
8137812,Cozy room in the heart of CPH,41887669,Amanda,,Indre By,55.683593512311106,12.563312121533219,Private room,551,3,0,,,1,0
9027049,Charming place in the heart of CPH,33357395,Charlotte,,Indre By,55.67867456433416,12.577757691440938,Entire home/apt,1298,2,10,2017-01-13,0.56,1,1
2451598,DESIGN APARTMENT BY CENTRAL PARK,11295829,Bai,,Indre By,55.686105604672186,12.580949781885485,Entire home/apt,748,4,93,2017-05-28,2.46,1,36
13267828,Lovely studio apartment in the heart of Copenhagen,74738896,Marie,,Indre By,55.67939766328351,12.567001909999572,Entire home/apt,550,5,1,2016-08-05,0.10,1,0
6165292,New apartment with  seaview and two big balconies.,14221935,Henrik,,Indre By,55.687116824860716,12.614514344260666,Entire home/apt,597,5,4,2015-09-27,0.17,1,10
2913041,"Largest private backyard, inner Cph",5846733,Ruben,,Indre By,55.6785448929476,12.5741876428642,Entire home/apt,1000,3,170,2017-06-10,4.51,1,270
1405739,"Central, Unique & Charming",7584907,Mikkel,,Indre By,55.68235034039491,12.585819244455283,Entire home/apt,1113,2,5,2016-06-13,0.11,1,340
17658650,Spacious bedroom in central Copenhagen,1472207,Sahara,,Indre By,55.6909788517467,12.571795191060042,Private room,325,2,3,2017-05-04,1.02,1,0
13953156,"Light, charming room in the heart of Copenhagen",38680582,Emma Helena,,Indre By,55.68611033094793,12.58588234727397,Private room,238,6,1,2016-08-15,0.10,1,0
10777364,Room in City Centre,43323735,Lise,,Indre By,55.68532227633621,12.584662643194456,Private room,748,2,3,2016-05-05,0.18,2,0
4747944,Modern home in the heart of CPH,23687137,Emil,,Indre By,55.68189222199732,12.572309790863287,Entire home/apt,1000,3,16,2016-12-14,0.54,1,348
3241203,"Big, central and modern apartment at GråbrødreTorv",16398902,Madicken Baltzer,,Indre By,55.68054166024913,12.575341145468975,Entire home/apt,1000,5,3,2016-10-12,0.13,2,13
12481775,Apartment nearby metro,10811553,Lise,,Indre By,55.67517163219273,12.584967287821827,Entire home/apt,702,3,1,2016-07-02,0.09,1,0
13595878,Large (118 sqm) City Center apartment,36509897,Andreas,,Indre By,55.68271825841852,12.572832414306653,Entire home/apt,1252,5,0,,,1,0
2127049,Family friendly design apartment by The Lakes,10277055,Vinni,,Indre By,55.695513928646875,12.577761256677128,Entire home/apt,788,2,0,,,1,28
15627446,Best location Christianshavn - WALK to everything,100739970,Susan,,Indre By,55.67262022505997,12.594364209800137,Entire home/apt,1298,2,5,2017-05-21,0.94,1,22
15234222,110m2 luxury warehouse apartment in the citycenter,96841703,Julie,,Indre By,55.68073637232259,12.562116775837762,Entire home/apt,1702,2,9,2017-05-28,1.08,1,95
13791848,Bohemian luxury in the trendy part of Copenhagen.,81051715,Silas,,Indre By,55.67850990787155,12.58884690407865,Entire home/apt,748,4,8,2017-05-25,0.85,1,11
5717431,Hyggelig lejl. på Christianshavn,29641792,Pia,,Indre By,55.6769308182229,12.598900454999958,Entire home/apt,1497,2,44,2017-06-10,1.70,1,339
6320660,Sleep in Nyhavn in nice big room,30830721,Erik,,Indre By,55.678046669144884,12.591848354135408,Private room,550,2,106,2017-05-26,4.19,2,31
13267498,Borgergade,74735789,Astrid,,Indre By,55.687567854017466,12.588551988987883,Entire home/apt,795,4,3,2017-01-03,0.27,1,24
17295453,1 Simple  room in a Modern and central apartment,53744898,Jonas,,Indre By,55.68586122980402,12.614693482655783,Private room,397,7,0,,,1,196
13726225,Cozy and bright apartment,26419326,Mette,,Indre By,55.690297368100445,12.57556359501811,Entire home/apt,649,1,17,2017-05-07,1.53,1,3
17568467,Apartment in the most fashionable area of CPH,50311721,Peter,,Indre By,55.6770861632294,12.590029760986472,Entire home/apt,750,2,6,2017-04-06,1.88,1,0
4337099,Romantic home in the Heart of CPH,6650179,Sigurd,,Indre By,55.67731254787632,12.575512479065162,Entire home/apt,803,3,15,2017-01-23,0.49,1,0
13988261,"Center of CPH, big apartment, quite street.",24333578,Stig,,Indre By,55.68388634856584,12.567111035133683,Entire home/apt,1292,2,2,2016-09-11,0.19,1,0
15561116,Cosy & Exclusive Apt in the heart of Copenhagen,100180948,Clara & Julian,,Indre By,55.68207430938548,12.58285706657028,Private room,901,1,10,2017-05-28,1.30,1,0
13070713,Unique location in the central Copenhagen,45968719,Rune,,Indre By,55.6782999557409,12.581787433634409,Entire home/apt,801,2,16,2017-05-14,1.28,1,9
14840156,20m2 room in historical luxury flat,3926782,Thea,,Indre By,55.685824970994446,12.587699693367272,Private room,649,2,6,2017-03-28,0.63,4,0
14119253,Room in Luxury 1700s Apartment,85105267,Michael,,Indre By,55.678593248921715,12.574559519978878,Private room,397,2,2,2016-09-02,0.20,2,0
2360083,"Cozy apartment, Christianshavn ",12052441,Anne,,Indre By,55.67448456864079,12.598364961309139,Entire home/apt,797,2,31,2017-05-28,0.77,1,177
13373869,"Very central, large 3 room apt.",37318810,Sia,,Indre By,55.67194900020249,12.59376128188008,Entire home/apt,1113,5,0,,,1,71
13856916,Modern Townhouse Green Areas close to central Cph,73729446,Herdis,,Indre By,55.68566698731384,12.615572435502248,Entire home/apt,1451,1,0,,,1,0
16674925,Lille hyggelig stuelejlighed,26361058,Susanne,,Indre By,55.67664861961289,12.56927698705239,Entire home/apt,550,3,17,2017-06-12,3.72,1,18
15012654,You will be in the middle of Copenhagen,21970069,Patrick,,Indre By,55.68159477674915,12.580037898168753,Private room,801,3,0,,,1,0
7435027,Classic Apartment in inner city,38833598,Kirstine Balskilde,,Indre By,55.678124773860716,12.591689471122969,Entire home/apt,1040,3,2,2015-08-15,0.09,1,0
15758090,Beautiful Apartment in the heart of Copenhagen C,4396241,Elly,,Indre By,55.67658270853947,12.570173180187806,Entire home/apt,888,1,1,2017-05-13,0.88,8,321
10646269,Charming apartment in center of CPH,22601954,Cecilie & Søren,,Indre By,55.68571653158175,12.58031809243515,Entire home/apt,801,2,1,2016-03-24,0.07,2,0
1012474,Charming apartment in Copenhagen,5570386,Esben,,Indre By,55.67412534719156,12.590341848525508,Entire home/apt,801,10,1,2013-06-08,0.02,1,348
14316273,Copenhagen Centre Oasis,5700114,Oskar & Greta,,Indre By,55.679031804442,12.574721835025489,Private room,623,2,18,2017-06-05,1.80,2,2
19231475,Lovely place centrally located in the heart of CPH,125683767,Jørgen,,Indre By,55.68245573289134,12.595870349525752,Entire home/apt,967,2,0,,,1,56
3805794,Atelier in Copenhagen C,18557031,Jeanette,,Indre By,55.676987116645066,12.5699915252037,Entire home/apt,498,2,11,2015-12-13,0.32,1,0
16937678,Central apartment with private rooftop terrace!,113195976,Rosa,,Indre By,55.677208665415854,12.567968504946384,Entire home/apt,1398,4,1,2017-04-17,0.50,1,32
14905444,cosy Copenhagen City apt. christianshavn,93600719,Natasha,,Indre By,55.66980072747989,12.587867239458403,Entire home/apt,1378,1,12,2017-06-12,2.17,1,313
13529180,4 room apartment on Christianshavn,39691896,Mie,,Indre By,55.67668462224683,12.598857115887437,Entire home/apt,993,2,5,2016-07-29,0.43,1,0
6910043,Luxurious apartment in Copenhagen,11208617,Morten,,Indre By,55.69354571142069,12.58627039539248,Entire home/apt,1099,2,1,2015-07-18,0.04,1,7
13267026,Modern and cozy apartment at the best location.,74730392,Nina,,Indre By,55.683392437513604,12.573481385242447,Entire home/apt,1000,2,11,2017-05-28,0.94,1,14
11235392,"",45843840,Jeppe,,Indre By,55.6966874520865,12.589660023752915,Entire home/apt,656,3,3,2016-07-11,0.22,1,0
13625351,Flat in the absolute center of Copenhagen,36443101,Liv,,Indre By,55.680177345361386,12.568844391881566,Entire home/apt,1199,4,2,2016-08-11,0.19,1,66
14905369,Discount - Book now: Central Copenhagen,93600760,Camilla,,Indre By,55.675897628877735,12.56721073547278,Entire home/apt,1497,1,8,2017-05-14,0.96,1,12
5236737,Modern apt. in the heart of CPH,27100645,Kaia & Morten,,Indre By,55.67038163857273,12.587664863036915,Entire home/apt,1497,4,0,,,1,0
8196686,Cosy place in the heart of Cph,4222437,Rebecca,,Indre By,55.67886914556984,12.56891000926019,Entire home/apt,690,3,7,2016-09-09,0.48,1,0
13791210,Nice Family Home near the Canal in Christianshavn,77463605,Maikin Og Per,,Indre By,55.67221748447476,12.592890698272068,Entire home/apt,947,2,3,2017-01-01,0.27,1,3
14249938,Central og hyggelig,26055733,Mikkel,,Indre By,55.688327574800375,12.56975905183241,Entire home/apt,689,3,1,2016-08-20,0.10,1,0
677453,Flat near city lakes in central CPH,11718,Benita,,Indre By,55.6840181593543,12.563674329679815,Entire home/apt,901,6,7,2016-06-30,0.16,1,72
14315453,Charming 3 room in old town center,38475647,Rasmus,,Indre By,55.681693053918046,12.574934076056243,Entire home/apt,1199,2,6,2017-06-10,0.58,1,39
13242473,Charming apartment in Christianshavn,74417673,David,,Indre By,55.676627029824225,12.599386301971773,Entire home/apt,697,3,24,2016-10-31,1.99,1,33
4353943,Charming room in the center CPH,22601954,Cecilie & Søren,,Indre By,55.68826331443085,12.581889473724715,Private room,603,2,13,2017-06-10,1.16,2,217
6361175,150 m2 family apartment Copenhagen,22883050,Petter Pablo,,Indre By,55.69458470553609,12.586360082379647,Entire home/apt,1401,3,16,2017-06-05,0.63,1,310
4878210,Room in central Copenhagen,19324170,Simon,,Indre By,55.68321486911519,12.565010834705843,Private room,258,1,23,2017-04-22,0.89,1,47
13856583,Charming new apt. close to the canals,2806924,Jacob,,Indre By,55.686858943986934,12.596189026711263,Entire home/apt,854,1,8,2017-03-25,0.85,7,279
4747071,Charming and cosy in the center,24500844,Henriette,,Indre By,55.682962613057285,12.579921941627356,Entire home/apt,2000,3,6,2016-10-11,0.23,1,345
15209488,Room in the heart of Copenhagen,76596912,Ingvild,,Indre By,55.67995563706115,12.579168645933645,Private room,498,1,2,2016-11-13,0.27,1,0
857097,MODERN FLAT IN THE HEART OF CPH ,3611270,Birna,,Indre By,55.67952942065429,12.567671798668762,Entire home/apt,1998,3,25,2017-05-28,0.50,1,358
9662253,Big and Amazing Apartment in CPH C,28761580,Peter,,Indre By,55.679470376284264,12.579937216722469,Entire home/apt,1947,3,17,2017-04-13,0.94,1,70
2977571,Cph city center - 2 charming floors,7944267,Cheni,,Indre By,55.68485735282042,12.564741699858839,Entire home/apt,848,1,12,2017-02-23,0.34,1,0
9269017,Very central and modern apartment,4785841,Anders,,Indre By,55.675364252085565,12.573487932041363,Entire home/apt,2398,2,27,2017-06-04,1.47,1,359
8393714,350sqm Large Charming Apartment,44228158,Marius,,Indre By,55.694579909412205,12.59108487074453,Entire home/apt,2648,1,0,,,1,0
8589360,Modern apartment in Copenhagen,26062416,Josephine,,Indre By,55.67849893210713,12.576331095959109,Entire home/apt,1447,5,8,2016-08-24,0.41,1,20
16453676,"VALUE for money, super central in Copenhagen",4069495,Mike,,Indre By,55.6820855460455,12.570960373672623,Entire home/apt,398,1,29,2017-05-30,6.49,5,45
6254315,Bedste beliggenhed i København,32488869,Nick,,Indre By,55.67716782997589,12.581475111403943,Entire home/apt,1000,3,17,2017-06-05,0.71,1,70
2060008,central & cosy apartment in Cph,10545005,Carina Ellen,,Indre By,55.68158162501449,12.583326169520586,Entire home/apt,947,3,11,2017-05-30,0.83,1,338
11890126,Room in the heart of Copenhagen 2,54484218,Xiang,,Indre By,55.68008500440361,12.574850154438444,Private room,397,1,119,2017-05-28,7.99,4,283
6623229,200m2 i Store Kongensgade Kbh. K,34174235,Rikke,,Indre By,55.68399547972465,12.588012335600302,Entire home/apt,1699,1,29,2017-05-29,1.18,1,286
12938708,Ny istandsat 2 værelsers lejlighed,11620634,Bengt,,Indre By,55.67131783802201,12.59144298937719,Entire home/apt,1000,3,24,2017-06-12,1.85,1,114
13528541,Penthouse at Christianshavn by the channel,54589042,Annine,,Indre By,55.67660676588566,12.596849114563884,Entire home/apt,1053,3,0,,,1,0
13594881,Exclusive Central apartment with Sunny balcony,55744917,Nikolaj,,Indre By,55.671469949150094,12.575800655898751,Entire home/apt,1000,2,2,2016-09-05,0.19,1,0
18419641,"Townhouse, close to city, family friendly",20523729,Thomas,,Indre By,55.68665363935432,12.614415275876642,Entire home/apt,1394,2,0,,,2,344
11538342,Luxurious in central Copenhagen,748578,Lucy,,Indre By,55.67764392313297,12.589556281710092,Entire home/apt,1228,3,26,2017-05-12,1.78,2,45
6779095,Big luxury apartment in the heart of Copenhagen,34300883,Nikolaj,,Indre By,55.68182430329798,12.591768914466726,Entire home/apt,1947,3,2,2016-07-02,0.09,1,29
13988054,Luxury apartment located on Christianshavn,83481399,Michael,,Indre By,55.670822039289106,12.585410850275228,Entire home/apt,1252,2,1,2016-11-18,0.14,1,0
8548537,New Room in the CITY CENTER,45000521,Chiara,,Indre By,55.68196816687408,12.571388002714889,Private room,371,4,3,2016-05-15,0.15,1,0
5468338,The best location in Copenhagen,28361149,Nynne,,Indre By,55.67786344623312,12.58270112180493,Entire home/apt,901,2,6,2017-06-09,0.36,1,52
16715583,Two storey flat overlooking theCity,100425299,Ditte,,Indre By,55.687273103513306,12.58559445279381,Entire home/apt,677,3,17,2017-05-29,3.49,1,42
8285582,Wonderful apartment overlooking the Lakes.,43686363,Pia Mia Gruwier,,Indre By,55.69016961143036,12.57007080729607,Entire home/apt,1000,2,3,2016-10-12,0.32,1,47
15798069,Wonderful City of Copenhagen,77351844,Guththila,,Indre By,55.6789440773371,12.58118307934765,Private room,856,1,5,2017-05-22,0.70,2,64
7892249,Great location & Great facilities,41610123,Michael,,Indre By,55.67841389795066,12.574482853600786,Entire home/apt,1252,2,8,2016-09-27,0.50,1,0
9583827,Penthouse with a private rooftop,49608098,Flemming,,Indre By,55.679201417755294,12.592370478600957,Entire home/apt,2570,2,85,2017-06-11,4.51,1,109
7302415,Ny lejlighed tæt på centrum,38250947,Jesper,,Indre By,55.683592025500396,12.613852728277038,Entire home/apt,550,1,2,2015-08-03,0.09,1,0
13906291,Amazing large apartment in the heart of Copenhagen,46490211,Ingi,,Indre By,55.68815724253091,12.579592991596629,Entire home/apt,1398,4,2,2016-08-23,0.20,1,31
9637674,Copenhagen Home w. History & Heart,18775022,Sara,,Indre By,55.67387953554541,12.589593000995183,Entire home/apt,1487,1,0,,,1,0
11037922,"New, CENTRALLY Loc., luxury 125 sqm",28982741,Mikael,,Indre By,55.67134558446937,12.575016248308097,Entire home/apt,1000,5,4,2017-04-17,0.49,1,174
17525974,Cozy and central apartment,118839689,Lise,,Indre By,55.69304915815207,12.583117760971685,Entire home/apt,550,3,4,2017-04-16,1.28,1,27
7236775,Unik & quiet w/terrasse central CPH,12977733,Karina Dam,,Indre By,55.67102358308774,12.590292021667175,Entire home/apt,795,3,34,2017-06-11,1.54,1,234
986871,Nice appartment and Location!!,3258243,Morten,,Indre By,55.6895562202566,12.57143474030821,Entire home/apt,1002,2,22,2017-05-28,0.44,1,349
15035534,Central Cph The Plummers old workshop,45492242,Søren & Gitte,,Indre By,55.68351352701308,12.587896991588009,Entire home/apt,1192,2,41,2017-06-04,4.54,2,107
8218474,Sunny appartement in city center,19668870,Charlotte,,Indre By,55.67555380926226,12.598587789756456,Entire home/apt,874,2,5,2016-09-13,0.27,1,0
18574443,"Beautiful LOFT, Heart of CPH, private ROOF TERRACE",5420871,John,,Indre By,55.67941590047308,12.589852658359538,Entire home/apt,1802,3,0,,,1,43
15403628,Sunny room in central CPH,98589633,Anna,,Indre By,55.67479305875666,12.557157982160378,Private room,352,2,0,,,1,3
8481767,Next to her majesty the Quenn,44670502,Peter,,Indre By,55.688276407879926,12.591642118683115,Entire home/apt,603,1,1,2016-06-04,0.08,1,0
15338091,Centrum. Charming Copenhagen-apartment,97781245,Marika,,Indre By,55.67585901859392,12.571113013015443,Entire home/apt,651,4,9,2017-06-11,2.11,1,10
14249680,THIS IS AS CENTRAL AS IT GETS! In the heart of CPH,86731803,Jakob,,Indre By,55.68056944409017,12.575698247818663,Entire home/apt,801,4,1,2016-10-03,0.12,1,8
9649441,Cozy flat in central Copenhagen,49887379,Tobias,,Indre By,55.68221347641862,12.571058502121256,Entire home/apt,1802,3,4,2016-07-07,0.30,1,0
16446456,Copenhagen Double Deluxe. Ideal for 2 couples,61288623,Christian,,Indre By,55.673250403589186,12.57305599602598,Entire home/apt,1053,2,17,2017-06-12,3.36,2,11
6608979,Two rooms en suite best location,2746934,Charlotte,,Indre By,55.69137458913075,12.573747300708522,Private room,597,3,23,2017-05-18,1.01,1,266
12807843,Unique Copenhagen Citycenter Apt.,69813298,Kristian,,Indre By,55.67258669348925,12.569648801364822,Entire home/apt,1398,5,17,2017-06-10,1.32,1,0
1249780,Big bright apartment with balcony,3330717,Palle,,Indre By,55.66780379437078,12.573268682978563,Entire home/apt,850,4,13,2017-05-29,0.27,1,165
3960480,Apartment in 2 floors in central Cph.,20523729,Thomas,,Indre By,55.68246977866358,12.565288117733074,Entire home/apt,848,2,11,2015-09-15,0.34,2,0
5640649,Huge & Trendy Cph city apartment,9865996,Fie,,Indre By,55.685088706323235,12.56652648888348,Entire home/apt,3000,1,3,2016-07-23,0.13,3,359
633039,Beds in the heart of Copenhagen City,1702217,Robert,,Indre By,55.68401709395034,12.563760963968356,Private room,437,1,144,2017-05-31,2.45,1,331
13570497,Amazing room located between Østerbro and Indre By,78253646,Lucas,,Indre By,55.6976203200094,12.58988185666181,Private room,378,2,0,,,1,0
14249539,Best location in Copenhagen,34168483,Line,,Indre By,55.678582151435045,12.575765366185212,Entire home/apt,702,3,56,2017-06-11,5.81,1,23
5306014,CENTRAL COPENHAGEN ROOM,27209063,Rakesh,,Indre By,55.68140283811384,12.581502000796604,Private room,1000,2,8,2015-05-24,0.28,1,318
11955772,In The Heart of Copenhagen,15764309,Jesper,,Indre By,55.68203123894514,12.584048271721917,Entire home/apt,835,3,16,2017-05-28,1.44,1,340
5837132,Best address in Copenhagen! ,9865996,Fie,,Indre By,55.68634830313207,12.56598241475717,Private room,651,1,4,2017-05-22,0.44,3,65
7278910,107 m2 just off Købmagergade,38111503,Sofie Hafström,,Indre By,55.68174195659449,12.578562082142541,Entire home/apt,1600,4,11,2016-11-27,0.80,1,0
13790716,2-room apartment in the middle of Kings Copenhagen,9852679,Frederik,,Indre By,55.68864778584837,12.590109082770969,Entire home/apt,1113,1,21,2017-06-04,1.86,1,68
2715130,LARGE LUXURY APT. IN CENTRAL CPH,7024468,Alexander,,Indre By,55.67921688098098,12.565187892928503,Entire home/apt,2199,4,11,2017-05-30,0.53,1,349
13527960,Lovely apartment in the heart of Copenhagen,77745356,Anne,,Indre By,55.67899461479341,12.58917769212926,Entire home/apt,894,3,11,2016-10-03,1.00,1,0
10447764,"Cosy appartement in Christianshavn, Copenhagen",8131181,Trine,,Indre By,55.671882692475805,12.590525718247344,Entire home/apt,1901,2,0,,,3,354
14314342,Huge apartment with gorgeous view,12422526,Kikki,,Indre By,55.686741306141975,12.581329954573034,Entire home/apt,1603,2,3,2017-02-05,0.38,3,34
7760727,"Tæt på alt, men i rolige omgivelser.",40807986,Pia,,Indre By,55.68331336807932,12.582723969662503,Entire home/apt,947,3,1,2016-08-23,0.10,1,0
14139778,Apartment in historic Copenhagen.,81501930,Maja,,Indre By,55.686644597443916,12.58801373523977,Entire home/apt,1331,1,45,2017-06-06,4.74,1,263
14782945,CENTRAL / CLEAN / BRIGHT 5,43893413,Sinan,,Indre By,55.67860843027903,12.575404471708929,Private room,603,2,50,2017-06-05,5.62,5,206
13986618,Big nice room - and very central to everything,79949578,Per,,Indre By,55.69561082961553,12.587539097856311,Private room,649,1,19,2017-06-11,1.76,4,81
14838535,Designer apartment in the heart of Copenhagen,45397225,Frederik,,Indre By,55.68500829965189,12.58485471599282,Entire home/apt,1099,1,2,2016-09-11,0.21,1,0
15472306,Center of Copenhagen with a view and nearby parks!,61527452,Anja,,Indre By,55.68827938565236,12.572665687407829,Entire home/apt,748,2,2,2016-11-21,0.26,1,0
11627259,Attractive Central 150 kvm Topfloor,61599745,Helene,,Indre By,55.67573502676593,12.560223194956707,Entire home/apt,1099,7,0,,,1,0
420589,Huge apartment by The Royal Palace,2091640,Nikolina,,Indre By,55.68671767770884,12.588078704231675,Entire home/apt,1199,2,3,2013-08-24,0.05,1,209
15143203,Cosy Apartment in the Heart of Copenhagen,49014584,Lasse,,Indre By,55.687359517410705,12.5835435161823,Private room,803,2,3,2017-03-26,0.39,1,22
6765685,Artist flat all 300m2 central Cph,34465137,Henrik,,Indre By,55.68003708913128,12.567965614738057,Entire home/apt,3298,3,22,2016-09-06,0.93,2,0
11037376,Cosy apartment - heart of CPH,57277442,Anthony,,Indre By,55.68608086352598,12.58547072718117,Entire home/apt,881,3,8,2016-08-05,0.50,1,0
3041949,Charming apt in historical Cph,6223756,Joakim,,Indre By,55.68054090797572,12.573988306231099,Entire home/apt,603,2,66,2016-08-31,1.85,1,0
16935595,Skøn  ældre lille lejlighed i hjertet af Kbh.k,21827764,Lisanne,,Indre By,55.67727788403644,12.583747835587575,Entire home/apt,742,3,14,2017-05-05,7.00,1,11
11299477,2 room in the heart of Copenhagen,41398412,Adél,,Indre By,55.686252093788355,12.583012464245629,Private room,318,2,1,2016-03-22,0.07,1,0
17459848,Bright apartment in central CPH,116418194,Lilan,,Indre By,55.6869171601634,12.589382668160425,Entire home/apt,1497,2,2,2017-03-12,0.58,1,0
14487810,in the heart of Copenhagen,8210076,Paola&Stephane,,Indre By,55.67614797370786,12.575735717578219,Entire home/apt,1102,2,59,2017-06-09,5.86,1,156
5640447,July in best spot of Copenhagen!,9865996,Fie,,Indre By,55.68611552906988,12.566534872877007,Entire home/apt,3000,1,0,,,3,0
8163769,Central med plads til børn,43089790,Tine,,Indre By,55.693375609629186,12.57527345155624,Entire home/apt,801,5,6,2016-07-27,0.30,1,0
5925456,Downtown flat Copenhagen,16466051,Jan,,Indre By,55.680589818827265,12.580829846453142,Entire home/apt,702,2,11,2015-07-01,0.43,2,6
3266987,Downtown in the best neighborhood,13602442,Maria,,Indre By,55.68232563712613,12.567435283804864,Entire home/apt,803,3,11,2017-05-11,0.43,1,35
4919520,TOP LOCATION - LUXUARY- GREAT ATMOS,25337855,Diana,,Indre By,55.685457619680584,12.5932947352735,Entire home/apt,1115,3,6,2015-05-26,0.22,1,75
15012021,Light and spacious designers apartment,60877811,Kristel,,Indre By,55.6821923840904,12.557843320272765,Entire home/apt,1500,3,7,2017-03-20,0.80,1,31
16910893,Cosy apartment in the heart of Østerbro,86044092,Julie Viktoria,,Indre By,55.69775621798378,12.591547825801017,Entire home/apt,803,2,4,2017-05-29,1.00,1,355
16910878,"Perfect location, nordic design apartment",24585310,Frederik,,Indre By,55.686961975105596,12.56857149748216,Entire home/apt,803,3,4,2017-03-18,0.97,2,0
2452011,Cph home in the middle of the city,12537380,Annette,,Indre By,55.681722177634526,12.571703185557164,Entire home/apt,1298,1,5,2017-05-29,1.81,1,348
1380781,1 or 2 in bright room in cental CPH,7005672,Liselotte & Allan,,Indre By,55.689252233656525,12.570845043819793,Private room,450,2,95,2017-05-28,2.03,1,209
14314005,Classic copenhagen apartment in the heart of Cph,8609355,Matilde,,Indre By,55.695962744629696,12.57943622111866,Entire home/apt,397,2,33,2017-06-06,3.64,1,308
13646899,Central near lakes and cool Norrebro with bicycle!,7440615,Chiara,,Indre By,55.68398040349024,12.567711466165983,Private room,444,4,2,2016-08-24,0.19,1,0
12978689,Townhouse from 1740 - as central as it gets,26583808,Camilla,,Indre By,55.68372586225887,12.581087344973877,Entire home/apt,803,2,46,2016-12-17,3.53,1,0
14027275,"Huge, cozy room in The Heart of Copenhagen",9148954,Mads,,Indre By,55.68617817694505,12.593089378295875,Private room,412,4,2,2017-05-21,1.54,1,59
2976042,Copenhagen center. Big & affordable,15179536,Thomas,,Indre By,55.67745707242785,12.569151971350918,Entire home/apt,1252,3,11,2016-10-23,0.31,1,165
330243,5 min from city center and canals,1566365,Oliver,,Indre By,55.675548198060376,12.599084159933609,Entire home/apt,816,5,3,2014-10-01,0.05,1,169
1806840,a private room with a great view,4685531,Jimmy & Iben,,Indre By,55.68784450388924,12.566178264878909,Private room,497,4,94,2017-06-05,2.48,1,229
3148277,Apt. close to everything,300196,Kasper,,Indre By,55.68139545658553,12.564444726811068,Entire home/apt,1228,1,0,,,1,293
19139054,New modern studio in the heart of Copenhagen,3156700,Stine,,Indre By,55.688572079657845,12.588703205650667,Entire home/apt,996,2,1,2017-06-11,1,1,160
14726811,Beautiful flat in historic city center,40605458,Frederik,,Indre By,55.68295683695452,12.573214642263574,Entire home/apt,1497,2,62,2017-06-11,6.55,4,277
10513389,Private room by the lakes,54205945,Søren,,Indre By,55.693003374328214,12.578964354023116,Private room,298,1,4,2016-06-30,0.27,1,0
11667895,Penthouse in the heart of CPH,10025929,Stephan,,Indre By,55.67297322652285,12.592025231054727,Entire home/apt,903,1,3,2016-09-11,0.20,1,0
7539097,Central room in best neighborhood,213631,Aleksandar,,Indre By,55.69171164437753,12.57688550070802,Private room,518,2,18,2017-05-16,0.85,1,0
6711576,Cozy apartment at Christianshavn!,35135133,Frederik,,Indre By,55.670745653843944,12.588945816574782,Entire home/apt,702,2,11,2016-10-19,0.46,1,0
15034625,Fantastic guest room in modern Danish apartment,29207819,Robert,,Indre By,55.68649029832458,12.568794529793752,Private room,450,1,56,2017-04-17,6.18,2,0
17238400,Central private studio in the heart of Copenhagen,43689278,Matteo,,Indre By,55.68666881862617,12.578808118863684,Entire home/apt,518,1,9,2017-06-04,2.29,1,107
9857178,Premium apartment - City center,8570245,Peter,,Indre By,55.688022949863964,12.586935357960568,Entire home/apt,1603,2,19,2017-06-02,1.05,1,353
8480929,Perfect to explore the city,36770936,Alexandra,,Indre By,55.69123829649424,12.572378977981108,Entire home/apt,709,3,5,2016-10-16,0.25,1,0
9070741,Charming loft apartment w. balcony,36632514,Bastian,,Indre By,55.67513176389587,12.598928912043432,Entire home/apt,517,3,1,2016-10-31,0.13,1,0
14879077,Charming apartment in the heart of Copenhagen,3071422,Michala,,Indre By,55.68131953751737,12.573497780856552,Entire home/apt,1998,3,7,2016-11-20,0.86,1,196
