id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19235952,Big flat in center of Frederiksberg(Copenhagen),19401481,Amalie,,Frederiksberg,55.6829460476614,12.53731792939193,Entire home/apt,523,3,0,,,1,1
2676815,Charmerende hus i Den Hvide By,13704985,Grethe,,Frederiksberg,55.67833218938295,12.51391918433132,Entire home/apt,1702,4,0,,,1,22
14937706,"Spacious, cosy and full of light duplex-110m2",2986084,Marie,,Frederiksberg,55.682698463746,12.522083652937672,Entire home/apt,1152,2,1,2016-10-13,0.12,1,44
8835844,Nice Bright room in Frederiksberg,44264169,Martin,,Frederiksberg,55.688246460863084,12.525632544094893,Private room,298,1,0,,,1,0
18134314,"Cosy room, green view in the heart of Copenhagen",74423217,Eva Og Michael,,Frederiksberg,55.67932833447044,12.535353058706056,Private room,397,2,8,2017-06-13,6.32,1,16
2448670,Modern and Charming Family Home,353478,Daniel,,Frederiksberg,55.67813988797593,12.545725240359504,Entire home/apt,2974,5,0,,,1,364
7175046,Lejlighed m. have på Frederiksberg,37583932,Anne Sophie,,Frederiksberg,55.67742749239973,12.549187312161166,Entire home/apt,1199,7,0,,,1,0
13857596,2 roomed apartment with balcony at Frederiksberg,81867818,Andreas,,Frederiksberg,55.69454146503814,12.53435605904865,Entire home/apt,556,2,5,2017-04-13,0.46,1,0
9253688,Cozy private room,48047793,Jakob,,Frederiksberg,55.684976255621166,12.523935469988656,Private room,298,1,68,2017-06-07,3.59,1,111
12789428,"Central, quiet and cosy apartment",11683737,Liza,,Frederiksberg,55.68355067121718,12.539322064170932,Entire home/apt,816,3,8,2017-04-03,0.70,1,0
13621246,Modern apartment for rent,47397907,Line,,Frederiksberg,55.69353800825275,12.523474900097273,Entire home/apt,947,1,5,2017-05-21,0.50,1,23
10543273,Beautiful 4-room apt in calm area,54367837,Kinne,,Frederiksberg,55.69104344206047,12.529834451803001,Entire home/apt,901,1,0,,,1,0
14991563,Modern apartment with lovely balcony,34017649,Kaspar,,Frederiksberg,55.687304096645505,12.532688369862896,Entire home/apt,550,5,0,,,1,0
18403433,Lovely apartment near metro,12343310,Caroline,,Frederiksberg,55.679150944054065,12.538701737888223,Entire home/apt,748,2,0,,,1,307
11238727,Very bright and charming appartment,13656633,Pia,,Frederiksberg,55.6945436322492,12.533730565690416,Entire home/apt,750,3,33,2017-06-09,2.44,1,310
8850065,Ideal family apartment for vacation,19549920,Thomas,,Frederiksberg,55.6856087815754,12.53060851087513,Entire home/apt,551,1,0,,,1,0
4260055,Unique and Bright apartment ,22109952,Gitta,,Frederiksberg,55.67693511372987,12.550396855232938,Entire home/apt,777,4,82,2017-06-06,2.65,1,0
658220,Bright studio ap. with park view,3318433,Mette,,Frederiksberg,55.66776848319076,12.522369015878622,Entire home/apt,651,4,12,2016-10-10,0.21,1,0
2820919,Bo i Kbh's mest charmerende kvarter,6416169,Dina Le Maire,,Frederiksberg,55.674190376747994,12.54914659636356,Entire home/apt,591,6,15,2016-12-22,0.53,1,358
16386906,Cosy apartment in beautiful Frederiksberg,15370152,Lea,,Frederiksberg,55.689122333805706,12.528087218173082,Entire home/apt,398,3,8,2017-05-29,1.32,1,51
3541757,Nice room close to the city center,5008749,_,,Frederiksberg,55.67978010059915,12.555379712896741,Private room,339,6,31,2017-06-04,0.97,1,112
