YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	DJF	MAM	JJA	SON	metANN
1923	2.6	-0.8	3.3	4.9	9.6	11.9	17.4	14.7	12.8	10.0	3.5	-0.8	1.8	5.9	14.7	8.8	7.79
1924	-2.4	-2.7	-0.1	3.9	10.9	14.4	15.8	16.3	14.3	10.1	5.7	4.1	-2.0	4.9	15.5	10.0	7.12
1925	3.9	3.6	1.4	7.4	13.4	15.1	19.4	17.2	12.5	7.7	2.7	-0.2	3.9	7.4	17.2	7.6	9.03
1926	1.1	0.7	3.0	7.6	11.0	15.0	18.8	17.6	13.5	7.3	6.5	2.5	0.5	7.2	17.1	9.1	8.49
1927	2.9	1.2	5.5	6.1	8.9	12.7	18.3	17.6	13.7	9.2	3.1	-1.9	2.2	6.8	16.2	8.7	8.48
1928	1.1	2.2	2.0	6.2	10.5	12.9	16.1	15.8	13.0	9.2	7.0	1.4	0.5	6.2	14.9	9.7	7.84
1929	-2.0	-5.8	2.4	3.4	12.1	13.7	16.2	16.5	14.4	10.1	6.4	4.5	-2.1	6.0	15.5	10.3	7.40
1930	3.4	0.3	2.9	7.2	11.6	16.6	17.5	16.6	13.2	9.9	6.2	2.9	2.7	7.2	16.9	9.8	9.16
1931	0.8	-0.3	-0.5	4.7	13.4	13.9	16.6	16.0	11.4	8.2	6.1	2.5	1.1	5.9	15.5	8.6	7.77
1932	3.2	0.9	0.9	6.5	12.4	14.9	19.0	18.1	13.8	8.7	5.6	3.5	2.2	6.6	17.3	9.4	8.88
1933	0.1	0.5	3.9	6.3	11.5	16.8	18.3	17.3	14.2	9.9	4.6	0.5	1.4	7.2	17.5	9.6	8.91
1934	1.8	3.3	3.9	8.1	12.8	15.6	18.9	17.1	16.0	10.7	6.3	5.5	1.9	8.3	17.2	11.0	9.58
1935	0.4	2.1	3.0	7.3	10.4	16.4	17.7	17.2	13.8	9.5	6.1	2.3	2.7	6.9	17.1	9.8	9.12
1936	2.9	-0.8	2.6	5.4	11.7	17.3	17.9	16.9	13.2	7.5	5.5	3.7	1.5	6.6	17.4	8.7	8.53
1937	-0.2	0.9	1.2	6.9	12.8	15.4	18.1	19.0	14.4	10.6	4.3	0.6	1.5	7.0	17.5	9.8	8.93
1938	2.2	2.1	6.7	6.9	11.0	14.9	17.5	18.9	15.1	10.4	8.2	1.4	1.6	8.2	17.1	11.2	9.54
1939	2.0	3.4	2.1	7.0	11.2	16.8	17.9	19.3	14.7	6.9	5.3	0.9	2.3	6.8	18.0	9.0	9.00
1940	-4.0	-6.6	-0.2	4.3	11.6	17.6	17.4	15.5	11.7	7.4	5.7	0.3	-3.2	5.2	16.8	8.3	6.78
1941	-5.8	-2.7	0.9	4.1	9.6	16.0	19.9	15.9	12.7	8.0	2.8	2.5	-2.7	4.9	17.3	7.8	6.81
1942	-6.4	-6.3	-4.0	5.7	10.7	13.4	16.0	17.5	14.1	10.0	4.3	3.2	-3.4	4.1	15.6	9.5	6.46
1943	-0.6	3.8	4.4	8.7	12.6	15.7	17.9	16.7	14.0	10.5	4.6	2.1	2.1	8.6	16.8	9.7	9.29
1944	3.0	1.0	1.5	6.0	10.4	14.2	18.6	19.5	13.4	9.9	4.8	2.2	2.0	6.0	17.4	9.4	8.70
1945	-1.0	2.1	5.0	7.9	11.8	15.6	18.2	17.9	14.1	10.1	6.0	2.3	1.1	8.2	17.2	10.1	9.16
1946	0.2	0.7	1.5	8.2	12.3	14.1	18.8	16.6	14.0	7.4	4.9	1.0	1.1	7.3	16.5	8.8	8.42
1947	-2.4	-6.6	-2.0	6.3	13.6	17.7	18.2	19.8	15.8	8.8	5.0	2.2	-2.7	6.0	18.6	9.9	7.93
1948	1.1	0.3	4.0	8.8	12.1	16.0	17.5	17.3	14.4	8.8	5.0	3.3	1.2	8.3	16.9	9.4	8.96
1949	2.2	3.0	1.8	7.8	12.6	15.3	18.7	16.4	16.6	11.4	6.3	3.9	2.8	7.4	16.8	11.4	9.62
1950	-0.7	1.8	4.3	6.8	13.3	16.7	17.3	18.4	13.8	9.3	4.9	1.1	1.7	8.1	17.5	9.3	9.15
1951	0.8	1.1	0.4	6.6	10.8	15.8	16.7	17.2	14.8	9.5	7.2	4.6	1.0	5.9	16.6	10.5	8.50
1952	1.3	1.3	0.4	8.7	11.7	13.8	16.3	16.6	11.4	7.3	2.9	0.9	2.4	6.9	15.6	7.2	8.03
1953	0.5	-0.4	3.9	7.7	12.5	17.5	17.7	16.7	13.3	11.1	7.2	3.5	0.3	8.0	17.3	10.5	9.05
1954	-0.6	-2.8	1.5	5.5	12.7	16.0	15.3	15.3	13.2	9.6	4.7	3.9	0.0	6.6	15.5	9.2	7.83
1955	-0.5	-2.4	-0.5	5.4	9.5	13.7	19.6	19.5	14.8	9.4	5.3	2.1	0.3	4.8	17.6	9.8	8.14
1956	0.3	-5.6	1.3	4.5	11.9	14.5	17.4	14.1	13.3	8.4	3.0	3.4	-1.1	5.9	15.3	8.2	7.10
1957	2.3	2.6	3.1	6.6	10.3	15.8	17.8	16.2	11.6	9.9	5.5	2.1	2.8	6.7	16.6	9.0	8.76
1958	-0.3	-0.9	-1.2	4.7	11.3	14.6	17.2	15.8	14.5	10.6	6.4	3.0	0.3	4.9	15.9	10.5	7.90
1959	1.0	1.3	4.5	7.8	12.4	16.2	19.3	18.6	14.6	10.3	6.1	3.1	1.8	8.2	18.0	10.3	9.59
1960	-0.3	-0.7	2.4	6.3	12.5	16.8	16.0	16.7	13.4	8.8	6.2	3.2	0.7	7.1	16.5	9.5	8.43
1961	1.0	3.4	5.9	8.7	11.5	17.0	15.5	15.4	15.1	11.7	5.1	0.5	2.5	8.7	16.0	10.6	9.46
1962	2.0	1.4	0.3	7.1	9.8	14.8	15.4	14.5	12.6	10.0	4.8	-0.5	1.3	5.7	14.9	9.1	7.77
1963	-4.2	-4.0	-0.3	5.4	12.7	16.4	17.4	16.5	13.6	9.5	7.1	0.0	-2.9	5.9	16.8	10.1	7.47
1964	0.7	0.0	-0.1	7.7	12.5	15.6	15.9	15.7	13.4	8.7	5.9	2.3	0.2	6.7	15.7	9.3	8.00
1965	1.5	-0.7	1.6	6.3	9.7	15.6	14.3	15.5	14.1	9.7	2.4	1.1	1.0	5.9	15.1	8.7	7.69
1966	-1.9	-1.2	3.1	3.7	12.2	16.7	16.8	15.5	13.1	9.9	4.7	2.3	-0.7	6.3	16.3	9.2	7.81
1967	0.0	2.5	5.4	6.3	11.9	15.0	17.5	16.9	14.5	11.1	6.1	1.4	1.6	7.9	16.5	10.6	9.13
1968	-0.6	0.0	4.2	8.4	10.2	17.0	16.1	17.9	14.7	9.7	5.6	0.6	0.3	7.6	17.0	10.0	8.72
1969	0.4	-1.3	0.0	6.0	10.9	16.6	18.0	18.4	15.0	10.7	5.0	-1.3	-0.1	5.6	17.7	10.2	8.36
1970	-1.9	-2.9	0.5	4.3	11.3	18.0	16.0	17.2	12.8	9.2	5.3	2.6	-2.0	5.4	17.1	9.1	7.38
1971	0.9	2.1	0.9	6.5	12.9	14.4	17.9	17.4	12.9	10.0	4.9	5.0	1.9	6.8	16.6	9.3	8.62
1972	-1.1	1.0	3.4	6.8	11.3	15.2	18.6	16.8	12.0	8.9	5.8	4.2	1.6	7.2	16.9	8.9	8.64
1973	1.6	2.9	5.4	5.7	12.0	16.9	18.8	17.3	13.5	7.9	4.0	1.5	2.9	7.7	17.7	8.5	9.18
1974	3.0	3.3	4.0	8.8	11.5	15.3	15.4	17.1	13.9	7.4	5.8	5.0	2.6	8.1	15.9	9.0	8.92
1975	4.8	2.0	3.2	6.1	11.9	15.7	18.7	20.4	15.6	9.3	5.0	4.2	3.9	7.1	18.3	10.0	9.81
1976	0.7	0.6	0.5	6.5	11.6	16.1	18.7	18.4	13.0	9.3	5.8	0.6	1.8	6.2	17.7	9.4	8.78
1977	0.5	0.7	3.7	5.1	12.3	16.4	16.5	16.3	12.6	10.6	5.9	3.2	0.6	7.0	16.4	9.7	8.43
1978	1.6	-1.2	2.8	5.4	12.5	16.0	15.4	16.5	11.9	10.0	7.7	-0.1	1.2	6.9	16.0	9.9	8.48
1979	-2.7	-2.5	1.4	5.5	11.9	16.1	14.7	15.8	13.1	8.5	4.8	2.5	-1.8	6.3	15.5	8.8	7.21
1980	-1.3	-1.0	0.7	6.8	10.8	15.7	16.9	16.0	14.0	8.5	4.2	2.7	0.1	6.1	16.2	8.9	7.82
1981	-0.2	1.0	3.2	6.6	12.9	14.7	16.4	16.4	13.9	8.3	5.1	-2.1	1.2	7.6	15.8	9.1	8.42
1982	-2.6	-0.8	3.9	7.1	11.4	15.2	18.7	17.7	14.2	10.7	6.7	3.1	-1.8	7.5	17.2	10.5	8.34
1983	4.7	0.0	4.2	6.9	11.6	16.0	19.1	18.3	13.9	9.9	4.4	2.0	2.6	7.6	17.8	9.4	9.34
1984	1.5	0.5	1.4	7.8	12.3	14.7	16.8	17.9	12.3	11.2	6.5	2.9	1.3	7.2	16.5	10.0	8.74
1985	-4.4	-4.8	1.2	5.2	12.7	14.7	17.1	16.4	12.5	10.2	2.9	3.0	-2.1	6.4	16.1	8.5	7.22
1986	-0.5	-4.4	1.4	4.8	12.4	16.2	17.3	15.9	11.2	9.3	7.3	2.6	-0.6	6.2	16.5	9.3	7.83
1987	-5.0	-0.7	-1.4	6.7	10.3	13.0	15.6	15.0	12.9	10.3	5.9	3.3	-1.0	5.2	14.5	9.7	7.10
1988	3.6	2.6	1.9	6.4	12.9	17.4	17.6	16.6	14.0	8.9	3.5	3.7	3.2	7.1	17.2	8.8	9.06
1989	4.6	4.7	5.7	7.1	13.1	16.4	18.2	16.1	14.4	10.4	4.8	2.4	4.3	8.6	16.9	9.9	9.93
